sco_id,sco_title,title,sco_author,author,sco_date,date,id,subject
https://shakespeareandco.princeton.edu/books/malory-morte-darthur/,Le Morte d'Arthur,Le morte d'Arthur /,"Malory, Thomas","malory, thomas",1485,1985,http://lccn.loc.gov/85240163,arthurian romances
https://shakespeareandco.princeton.edu/books/more-utopia/,Utopia,Utopia /,"More, Thomas","more, thomas",1516,1999,http://lccn.loc.gov/00268291,utopias;early works to 1800
https://shakespeareandco.princeton.edu/books/norton-gorboduc/,Gorboduc,The tragedy of Gorboduc,"Norton, Thomas","norton, thomas;john davis batchelder collection (library of congress);dorset, thomas sackville",1561,1736,http://lccn.loc.gov/96195076,tragedies
https://shakespeareandco.princeton.edu/books/lyly-euphues-anatomy-wit/,Euphues: The Anatomy of Wit,Euphues. The anatomy of wit.,"Lyly, John","lyly, john",1578,1868,http://lccn.loc.gov/12008363,triangles (interpersonal relations);naples (italy);male friendship;fiction
https://shakespeareandco.princeton.edu/books/spenser-shepheards-calendar/,The Shepheard's Calendar,The faerie queen ; The shepheards calendar : together with the other works of England's arch-poët,"Spenser, Edmund","spenser, edmund;george fabyan collection (library of congress)",1579,1617,http://lccn.loc.gov/96133755,knights and knighthood;poetry;virtues
https://shakespeareandco.princeton.edu/books/greene-defence-conny-catching/,The Defence of Conny-Catching,"The blacke bookes messenger, 1592. Cuthbert Conny-catcher: The defence of conny-catching. 1592.","Greene, Robert","greene, robert",1592,1966,http://lccn.loc.gov/66007098,social life and customs;england;london (england);crime;early works to 1800;london
https://shakespeareandco.princeton.edu/books/shakespeare-midsummers-nights-dream/,A Midsummer's Night's Dream,A midsummer night's dream,"Shakespeare, William","lake, james h.;shakespeare, william;ford, john r.",1595,2010,http://lccn.loc.gov/2015460287,"a midsummer night's dream;athens (greece);man-woman relationships;fairy plays;drama;shakespeare, william;courtship"
https://shakespeareandco.princeton.edu/books/sidney-apology-poetry/,An Apology for Poetry,An apology for poetry.,"Sidney, Philip","sidney, philip",1595,1970,http://lccn.loc.gov/73122682,early works to 1800;poetry
https://shakespeareandco.princeton.edu/books/shakespeare-loves-labours-lost/,Love's Labour's Lost,Love's labour's lost /,"Shakespeare, William","shakespeare, william",1598,2008,http://lccn.loc.gov/2008482036,"navarre (kingdom);courts and courtiers;drama;shakespeare, william;princesses;love's labour's lost"
https://shakespeareandco.princeton.edu/books/bacon-advancement-learning/,The Advancement of Learning,The advancement of learning /,"Bacon, Francis","bacon, francis",1605,2001,http://lccn.loc.gov/2001030611,"knowledge, theory of;science;philosophy;methodology;early works to 1800;learning;logic"
https://shakespeareandco.princeton.edu/books/webster-white-devil/,The White Devil,The white devil,"Webster, John","webster, john;robinson, benedict scott",1612,2019,http://lccn.loc.gov/2018055704,drama;revenge
https://shakespeareandco.princeton.edu/books/burton-anatomy-melancholy/,The Anatomy of Melancholy,The anatomy of melancholy,"Burton, Robert","burton, robert;dell, floyd;jordan-smith, paul",1621,1927,http://lccn.loc.gov/28003840,melancholy;early works to 1800
https://shakespeareandco.princeton.edu/books/descartes-geometrie/,La géométrie,La géométrie de René Descartes.,"Descartes, René","descartes, rené",1637,1886,http://lccn.loc.gov/2001554104,"paris;france;geometry, analytic"
https://shakespeareandco.princeton.edu/books/browne-religio-medici/,Religio Medici,Religio medici.,"Browne, Thomas","keck, thomas;browne, thomas;digby, kenelm;thomas jefferson library collection (library of congress);jefferson, thomas",1643,1659,http://lccn.loc.gov/2014658957,england;christian ethics;christian life;religion;early works to 1800;london
https://shakespeareandco.princeton.edu/books/browne-vulgar-errors-pseudodoxia/,Vulgar Errors (Pseudodoxia Epidemica),"The works of the learned Sr Thomas Brown, Kt., Doctor of Physick, late of Norwich. Containing I. Enquiries into vulgar and common errors. II. Religio medici: with annotations and observations upon it. III. Hydriotaphia; or, Vrn-Burial: Together with The Garden of Cyrus. IV. Certain miscellany tracts. With alphabetical tables.","Browne, Thomas","browne, thomas",1646,1686,http://lccn.loc.gov/20007180,"physicians;gardening;urn burial;english prose literature;christian ethics;early modern;antiquities;cyrus;early works to 1800;religious life;530 c. or 529 c;the great, king of persia;norfolk (england)"
https://shakespeareandco.princeton.edu/books/hobbes-leviathan/,Leviathan,Leviathan /,"Hobbes, Thomas","hobbes, thomas;malcolm, noel",1651,2014,http://lccn.loc.gov/2015302863,"early works;politische philosophie;edition;early works to 1800;leviathan;political science;hobbes, thomas;state, the"
https://shakespeareandco.princeton.edu/books/greville-sir-fulke-grevilles/,Sir Fulke Greville's Life of Sir Philip Sidney,"Sir Fulke Greville's Life of Sir Philip Sidney,","Greville, Fulke","greville, fulke",1652,1907,http://lccn.loc.gov/08004319,"sidney, philip"
https://shakespeareandco.princeton.edu/books/milton-paradise-lost/,Paradise Lost,Paradise lost,"Milton, John","merkle, rebekah;milton, john",1667,2015,http://lccn.loc.gov/2016026981,"paradise lost;bible;fall of man;milton, john;poetry;history of biblical events;juvenile literature;genesis"
https://shakespeareandco.princeton.edu/books/julian-revelations-divine-love/,Revelations of Divine Love,Revelations of divine love /,"Julian, of Norwich",julian,1670,2011,http://lccn.loc.gov/2010048473,"love;devotional literature, english (middle);julian;religious aspects;christianity;early works to 1800;private revelations;mysticism;history;of norwich;middle ages, 500;england"
https://shakespeareandco.princeton.edu/books/bunyan-pilgrims-progress/,The Pilgrim's Progress,"The pilgrim's progress,","Bunyan, John","bunyan, john",1678,1899,http://lccn.loc.gov/00000824,christian fiction;christian pilgrims and pilgrimages;fiction
https://shakespeareandco.princeton.edu/books/butler-hudibras/,Hudibras,"Hudibras,","Butler, Samuel","butler, samuel;bohn, henry g. (henry george)",1684,1873,http://lccn.loc.gov/17013907,
https://shakespeareandco.princeton.edu/books/swift-tale-tub/,A Tale of a Tub,A tale of a tub,"Swift, Jonathan","swift, jonathan",1704,2018,http://lccn.loc.gov/2017041272,"satire, english;fiction / satire"
https://shakespeareandco.princeton.edu/books/pope-essay-criticism/,An Essay on Criticism,An essay on criticism /,"Pope, Alexander","pope, alexander",1711,1988,http://lccn.loc.gov/89900230,
https://shakespeareandco.princeton.edu/books/pope-rape-lock/,The Rape of the Lock,The rape of the lock.,"Pope, Alexander","lougee, david g.;mchenry, robert w.;pope, alexander",1712,1969,http://lccn.loc.gov/69013719,"examinations;rape of the lock;study guides;pope, alexander"
https://shakespeareandco.princeton.edu/books/defoe-robinson-crusoe/,Robinson Crusoe,Robinson Crusoe /,"Defoe, Daniel","defoe, daniel",1719,1975,http://lccn.loc.gov/74034116,"crusoe, robinson (fictitious character);defoe, daniel;fiction;shipwreck survival;robinson crusoe;islands;castaways"
https://shakespeareandco.princeton.edu/books/defoe-journal-plague-year/,A Journal of the Plague Year,A journal of the plague year,"Defoe, Daniel","defoe, daniel",1722,2022,http://lccn.loc.gov/2021014915,london (england);17th century;fiction;plague;historical fiction;history
https://shakespeareandco.princeton.edu/books/defoe-moll-flanders/,Moll Flanders,Moll Flanders /,"Defoe, Daniel","defoe, daniel",1722,2010,http://lccn.loc.gov/2010537170,
https://shakespeareandco.princeton.edu/books/defoe-moll-flanders-roxana/,Moll Flanders and Roxana,"The fortunes and misfortunes of the famous Moll Flanders and The fortunate mistress; or, The Lady Roxana;","Defoe, Daniel","defoe, daniel",1724,1906,http://lccn.loc.gov/w07000133,criminals;england;london (england);children of prisoners;prostitutes;repentance;virginia;british;fiction;women
https://shakespeareandco.princeton.edu/books/swift-gullivers-travels/,Gulliver's Travels,Gulliver's travels /,"Swift, Jonathan","swift, jonathan",1726,2011,http://lccn.loc.gov/2010028367,"examinations;voyages, imaginary;travelers;fiction;early works to 1800;study guides;gulliver's travels;swift, jonathan"
https://shakespeareandco.princeton.edu/books/defoe-tour-england-wales/,A Tour through England and Wales,A tour through England and Wales : divided into circuites or journies /,"Defoe, Daniel","defoe, daniel",1727,1935,http://lccn.loc.gov/37005612,wales;early works to 1800;england;description and travel
